,BEGIN_POST,END_POST,crash_num,crash,month,day,hour,min,zone_id
45,3.0,5.0,1,yes,3,15,1,12,6587.0
45,3.0,5.0,1,yes,3,15,1,12,6834.0
45,3.0,5.0,1,yes,3,15,1,12,7042.0
45,3.0,5.0,1,yes,3,15,1,12,7045.0
45,3.0,5.0,1,yes,3,15,1,12,7738.0
45,3.0,5.0,1,yes,3,15,1,12,9681.0
45,3.0,5.0,1,yes,3,15,1,12,9698.0
45,3.0,5.0,1,yes,3,15,1,12,9744.0
45,3.0,5.0,1,yes,3,15,1,12,9746.0
45,3.0,5.0,1,yes,3,15,1,12,9749.0
45,3.0,5.0,1,yes,3,15,1,12,9750.0
45,3.0,5.0,1,yes,3,15,1,12,9752.0
45,3.0,5.0,1,yes,3,15,1,12,6147.0
