zone_id,display_name,state,rtmc,timezone,road,direction,location_description,lane_type,organization,detector_type,latitude,longitude,bearing,default_speed,interval,length,FID,ROADWAY,COLOR_CODE,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Len
"6578",I-4 W of Universal-link1,District 5,Orlando,America/New_York,I-4,East,I-4 W of Universal,Unknown,FDOT,Single Loop,28.4633,-81.4683,,"70","30",,,,,,,,,5.000000000000000,11.000000000000000,,
"6860",RSE-06_I-4_SR-435-EB,District 5,Orlando,America/New_York,I-4,East,RSE-06_I-4_SR-435,Unknown,FDOT,OBE,28.468361,-81.458643,,,"20",1,,,,,,,,5.000000000000000,11.000000000000000,,
"7037",I-4 @ Sand Lake-EB,District 5,Orlando,America/New_York,I-4,East,I-4 @ Sand Lake (SR 482),Unknown,FDOT,Single Loop,28.4496,-81.4744,,"65","30",,,,,,,,,5.000000000000000,11.000000000000000,,
"7073",I-4 EB @ MM 072.6-EB,District 5,Orlando,America/New_York,I-4,East,MVDS: I-4 at ORA MM072.6 ES,Unknown,FDOT,Radar,28.43242,-81.47403,,"70","30",0.5,,,,,,,,5.000000000000000,11.000000000000000,,
"8612",I-4 EB @ MM 074.2-EB,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM074.2 ES,Unknown,FDOT,Radar,28.457938,-81.473214,,"65","30",0.4,,,,,,,,5.000000000000000,11.000000000000000,,
"8613",I-4 EB @ MM 073.8-EB,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM073.8 ES,Unknown,FDOT,Radar,28.447977,-81.474308,,"65","30",0.6,,,,,,,,5.000000000000000,11.000000000000000,,
"9702",I-4 EB @ MM 071.9-EB,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM071.9 ES,Unknown,FDOT,Radar,28.42258,-81.474,,"65","30",1,,,,,,,,5.000000000000000,11.000000000000000,,
"9714",I-4 WB @ MM 072.1-EB-Rmp,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM072.1 WS,Unknown,FDOT,Radar,28.4262,-81.4745,,"45","30",0.2,,,,,,,,5.000000000000000,11.000000000000000,,
"9722",I-4 WB @ MM 073.2-EB,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM073.2 WS,Unknown,FDOT,Radar,28.440204,-81.474266,,"70","30",0.6,,,,,,,,5.000000000000000,11.000000000000000,,
"9733",I-4 EB @ MM 074.5-EB,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM074.5 ES,Unknown,FDOT,Radar,28.462711,-81.468172,,"60","30",0.3,,,,,,,,5.000000000000000,11.000000000000000,,
"9774",I-4 @ 435 EB,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM075.1 ES,Unknown,FDOT,Radar,28.4673,-81.4607,,"55","30",1,,,,,,,,5.000000000000000,11.000000000000000,,
"14083",I-4 EB @ MM 075.1-EB,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM075.1 ES,Unknown,FDOT,Radar,28.467934,-81.459559,,"60","30",0.6,,,,,,,,5.000000000000000,11.000000000000000,,
"14529",MVDS: I-4-EB 074.8,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM074.8 ES,Unknown,FDOT,Radar,28.457472,-81.473475,,"55","30",0.2,,,,,,,,5.000000000000000,11.000000000000000,,
"14718",MVDS: I-4-EB 075.3 OFF,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM075.3 ES,Unknown,FDOT,Radar,28.462678,-81.467975,,"55","30",0.2,,,,,,,,5.000000000000000,11.000000000000000,,
"14719",MVDS: I-4-EB 075.3,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM075.3 ES,Unknown,FDOT,Radar,28.462678,-81.467975,,"55","30",0.2,,,,,,,,5.000000000000000,11.000000000000000,,
"14720",MVDS: I-4-EB 075.6 OFF,District 5,,America/New_York,I-4,East,MVDS: I-4 at ORA MM075.6 ES,Unknown,FDOT,Radar,28.465964,-81.464097,,"55","30",0.2,,,,,,,,5.000000000000000,11.000000000000000,,
